ID,MemoryType,Valence,AbsDiff,Accuracy
1,OO,Negative,5,1
1,ON,Neutral,1,0
1,OO,Neutral,2,0
1,ON,Negative,5,0
1,OO,Neutral,1,0
1,ON,Neutral,3,0
1,OO,Negative,2,1
1,ON,Negative,5,1
1,OO,Neutral,2,1
1,ON,Negative,1,1
1,OO,Negative,2,0
1,ON,Neutral,5,1
1,OO,Negative,3,0
1,ON,Negative,1,1
1,OO,Neutral,2,1
1,ON,Neutral,1,0
1,OO,Neutral,1,0
1,ON,Negative,3,1
1,OO,Negative,2,0
1,ON,Negative,1,1
1,OO,Negative,1,1
1,ON,Negative,5,1
1,OO,Neutral,3,0
1,ON,Neutral,3,1
1,OO,Neutral,2,1
1,ON,Negative,1,0
1,OO,Negative,4,0
1,ON,Negative,5,1
1,OO,Neutral,3,1
1,ON,Negative,3,1
1,OO,Negative,2,1
1,ON,Negative,3,0
1,OO,Negative,3,1
1,ON,Negative,1,1
1,OO,Neutral,4,0
1,ON,Neutral,3,0
1,OO,Negative,2,1
1,ON,Negative,3,1
1,OO,Neutral,4,0
1,ON,Neutral,1,1
2,OO,Neutral,1,0
2,ON,Neutral,1,1
2,OO,Negative,4,1
2,ON,Negative,3,1
2,OO,Neutral,5,1
2,ON,Neutral,3,0
2,OO,Negative,1,0
2,ON,Negative,1,0
2,OO,Negative,1,0
2,ON,Negative,3,1
2,OO,Neutral,3,0
2,ON,Negative,3,1
2,OO,Negative,4,1
2,ON,Negative,5,1
2,OO,Neutral,1,1
2,ON,Negative,1,0
2,OO,Neutral,1,1
2,ON,Neutral,3,1
2,OO,Negative,4,1
2,ON,Negative,5,1
2,OO,Negative,1,1
2,ON,Negative,1,0
2,OO,Neutral,3,1
2,ON,Negative,3,1
2,OO,Negative,1,1
2,ON,Neutral,1,1
2,OO,Negative,1,1
2,ON,Negative,1,1
2,OO,Neutral,3,1
2,ON,Neutral,5,0
2,OO,Neutral,2,0
2,ON,Negative,1,1
2,OO,Negative,4,0
2,ON,Negative,5,0
2,OO,Negative,1,0
2,ON,Neutral,3,1
2,OO,Neutral,5,0
2,ON,Negative,5,0
2,OO,Negative,2,1
2,ON,Neutral,1,0
2,OO,Negative,4,1
2,ON,Neutral,5,0
2,OO,Neutral,2,1
2,ON,Neutral,5,1
2,OO,Neutral,3,1
2,ON,Negative,3,0
2,OO,Negative,2,1
2,ON,Negative,5,1
2,OO,Negative,1,0
2,ON,Negative,3,0
2,OO,Neutral,3,0
2,ON,Negative,1,0
2,OO,Negative,2,1
2,ON,Negative,3,0
2,OO,Neutral,1,1
2,ON,Negative,1,1
2,OO,Negative,1,1
2,ON,Neutral,3,1
2,OO,Neutral,4,0
2,ON,Neutral,1,1
2,OO,Negative,2,0
2,ON,Negative,3,1
2,OO,Negative,3,0
2,ON,Neutral,5,1
2,OO,Neutral,1,1
2,ON,Neutral,5,0
2,OO,Neutral,4,1
2,ON,Neutral,5,0
2,OO,Negative,2,1
2,ON,Negative,5,0
2,OO,Negative,1,1
2,ON,Neutral,1,1
2,OO,Neutral,1,0
2,ON,Neutral,1,0
2,OO,Neutral,2,1
2,ON,Neutral,5,1
2,OO,Negative,1,0
2,ON,Neutral,5,1
2,OO,Neutral,1,1
2,ON,Neutral,3,1
2,OO,Neutral,3,0
2,ON,Neutral,5,1
2,OO,Negative,3,0
2,ON,Neutral,1,1
2,OO,Negative,3,0
2,ON,Neutral,3,1
2,OO,Neutral,3,1
2,ON,Negative,1,1
2,OO,Neutral,2,1
2,ON,Neutral,1,1
2,OO,Negative,3,1
2,ON,Negative,1,1
2,OO,Negative,2,1
2,ON,Negative,1,1
2,OO,Neutral,4,1
2,ON,Neutral,5,1
2,OO,Neutral,1,0
2,ON,Neutral,5,1
2,OO,Neutral,1,1
2,ON,Neutral,5,0
2,OO,Neutral,5,1
2,ON,Negative,3,0
2,OO,Negative,2,1
2,ON,Neutral,3,1
2,OO,Neutral,4,0
2,ON,Neutral,5,0
2,OO,Negative,3,0
2,ON,Neutral,3,1
2,OO,Neutral,3,0
2,ON,Neutral,1,1
2,OO,Neutral,1,1
2,ON,Neutral,3,0
2,OO,Negative,3,1
2,ON,Neutral,3,0
2,OO,Negative,2,1
2,ON,Neutral,3,1
2,OO,Neutral,1,0
2,ON,Negative,3,1
2,OO,Neutral,4,1
2,ON,Neutral,5,0
2,OO,Negative,5,0
2,ON,Negative,3,0
2,OO,Neutral,2,1
2,ON,Neutral,5,1
2,OO,Neutral,1,1
2,ON,Neutral,5,0
2,OO,Negative,2,1
2,ON,Neutral,5,0
2,OO,Neutral,2,1
2,ON,Neutral,3,1
2,OO,Negative,2,1
2,ON,Neutral,5,1
2,OO,Negative,3,1
2,ON,Neutral,5,1
2,OO,Neutral,2,0
2,ON,Negative,5,0
2,OO,Neutral,1,0
2,ON,Negative,1,0
2,OO,Negative,2,1
2,ON,Neutral,1,1
2,OO,Negative,1,0
2,ON,Negative,1,0
2,OO,Neutral,3,0
2,ON,Negative,5,1
2,OO,Neutral,2,1
2,ON,Negative,3,1
2,OO,Neutral,4,1
2,ON,Neutral,1,1
2,OO,Neutral,3,0
2,ON,Negative,3,0
2,OO,Negative,2,1
2,ON,Negative,1,0
2,OO,Negative,3,0
2,ON,Neutral,3,1
2,OO,Neutral,4,0
2,ON,Neutral,5,1
2,OO,Negative,2,1
2,ON,Neutral,3,1
2,OO,Neutral,4,1
2,ON,Negative,5,0
4,OO,Neutral,1,1
4,ON,Negative,5,0
4,OO,Negative,4,1
4,ON,Neutral,3,0
4,OO,Neutral,5,1
4,ON,Neutral,5,1
4,OO,Negative,1,1
4,ON,Neutral,3,1
4,OO,Negative,1,0
4,ON,Negative,1,1
4,OO,Neutral,3,0
4,ON,Negative,3,0
4,OO,Negative,4,1
4,ON,Neutral,1,0
4,OO,Neutral,1,1
4,ON,Negative,3,0
4,OO,Neutral,1,0
4,ON,Negative,5,0
4,OO,Negative,4,1
4,ON,Negative,1,0
4,OO,Negative,1,1
4,ON,Neutral,1,1
4,OO,Neutral,3,1
4,ON,Negative,1,0
4,OO,Negative,1,1
4,ON,Negative,5,1
4,OO,Negative,1,1
4,ON,Neutral,5,0
4,OO,Neutral,3,1
4,ON,Neutral,5,1
4,OO,Neutral,2,1
4,ON,Neutral,3,1
4,OO,Negative,4,1
4,ON,Neutral,5,0
4,OO,Negative,1,1
4,ON,Neutral,5,0
4,OO,Neutral,5,1
4,ON,Neutral,5,1
4,OO,Negative,2,1
4,ON,Negative,3,1
4,OO,Negative,4,1
4,ON,Neutral,5,0
4,OO,Neutral,2,1
4,ON,Negative,3,1
4,OO,Neutral,3,1
4,ON,Neutral,3,1
4,OO,Negative,2,1
4,ON,Neutral,3,1
4,OO,Negative,1,0
4,ON,Neutral,3,0
4,OO,Neutral,3,1
4,ON,Neutral,1,1
4,OO,Negative,2,1
4,ON,Neutral,3,0
4,OO,Neutral,1,1
4,ON,Neutral,5,0
4,OO,Negative,1,0
4,ON,Neutral,3,0
4,OO,Neutral,4,1
4,ON,Negative,3,1
4,OO,Negative,2,1
4,ON,Neutral,5,1
4,OO,Negative,3,1
4,ON,Neutral,5,1
4,OO,Neutral,1,0
4,ON,Neutral,5,0
4,OO,Neutral,4,0
4,ON,Negative,1,1
4,OO,Negative,2,1
4,ON,Negative,1,1
4,OO,Negative,1,0
4,ON,Neutral,1,0
4,OO,Neutral,1,1
4,ON,Negative,1,0
4,OO,Neutral,2,1
4,ON,Neutral,3,0
4,OO,Negative,1,0
4,ON,Neutral,1,0
4,OO,Neutral,1,1
4,ON,Neutral,5,1
4,OO,Neutral,3,1
4,ON,Neutral,3,1
4,OO,Negative,3,1
4,ON,Neutral,5,0
4,OO,Negative,3,1
4,ON,Neutral,5,1
4,OO,Neutral,3,1
4,ON,Neutral,1,0
4,OO,Neutral,2,1
4,ON,Neutral,1,0
4,OO,Negative,3,1
4,ON,Negative,5,0
4,OO,Negative,2,1
4,ON,Neutral,5,1
4,OO,Neutral,4,1
4,ON,Neutral,5,0
4,OO,Neutral,1,0
4,ON,Neutral,5,1
4,OO,Neutral,1,0
4,ON,Negative,3,1
4,OO,Neutral,5,1
4,ON,Neutral,1,1
4,OO,Negative,2,1
4,ON,Neutral,3,1
4,OO,Neutral,4,0
4,ON,Negative,1,1
4,OO,Negative,3,0
4,ON,Negative,3,0
4,OO,Neutral,3,1
4,ON,Negative,1,1
4,OO,Neutral,1,0
4,ON,Negative,3,0
4,OO,Negative,3,1
4,ON,Negative,5,1
4,OO,Negative,2,1
4,ON,Negative,3,0
4,OO,Neutral,1,1
4,ON,Neutral,5,1
4,OO,Neutral,4,1
4,ON,Neutral,5,0
4,OO,Negative,5,1
4,ON,Neutral,1,1
4,OO,Neutral,2,0
4,ON,Negative,5,1
4,OO,Neutral,1,1
4,ON,Neutral,3,1
4,OO,Negative,2,1
4,ON,Negative,5,1
4,OO,Neutral,2,0
4,ON,Negative,1,1
4,OO,Negative,2,0
4,ON,Neutral,5,1
4,OO,Negative,3,1
4,ON,Negative,1,1
4,OO,Neutral,2,0
4,ON,Neutral,1,1
4,OO,Neutral,1,0
4,ON,Negative,3,1
4,OO,Negative,2,1
4,ON,Negative,1,1
4,ON,Negative,5,1
4,OO,Neutral,3,1
4,ON,Neutral,3,1
4,OO,Neutral,2,1
4,ON,Negative,1,1
4,OO,Neutral,4,1
4,ON,Negative,5,1
4,OO,Neutral,3,0
4,ON,Negative,3,0
4,OO,Negative,2,0
4,ON,Negative,3,0
4,OO,Negative,3,0
4,ON,Negative,1,1
4,OO,Neutral,4,1
4,ON,Neutral,3,0
4,OO,Negative,2,0
4,ON,Negative,3,0
4,OO,Neutral,4,0
4,ON,Neutral,1,0
5,OO,Neutral,1,1
5,ON,Negative,5,0
5,OO,Neutral,4,1
5,ON,Neutral,3,0
5,OO,Neutral,5,1
5,ON,Neutral,5,1
5,OO,Negative,1,1
5,ON,Neutral,3,1
5,OO,Negative,1,0
5,ON,Neutral,1,1
5,OO,Neutral,3,1
5,ON,Negative,3,1
5,OO,Negative,4,1
5,ON,Neutral,1,0
5,OO,Neutral,1,1
5,ON,Negative,3,1
5,OO,Neutral,1,1
5,ON,Negative,5,0
5,OO,Negative,4,1
5,ON,Negative,1,1
5,OO,Negative,1,1
5,ON,Neutral,1,0
5,OO,Neutral,3,1
5,ON,Negative,1,0
5,OO,Negative,1,1
5,ON,Negative,5,0
5,OO,Negative,1,1
5,ON,Neutral,5,1
5,OO,Neutral,3,1
5,ON,Neutral,5,1
5,OO,Neutral,2,1
5,ON,Neutral,3,1
5,OO,Negative,4,1
5,ON,Neutral,5,1
5,OO,Negative,1,1
5,ON,Neutral,5,1
5,OO,Neutral,5,1
5,ON,Neutral,5,1
5,OO,Negative,2,1
5,ON,Negative,3,1
5,OO,Negative,4,1
5,ON,Neutral,5,0
5,OO,Neutral,2,1
5,ON,Negative,3,0
5,OO,Neutral,3,1
5,ON,Neutral,3,1
5,OO,Negative,2,0
5,ON,Neutral,3,0
5,OO,Negative,1,1
5,ON,Neutral,3,1
5,OO,Neutral,3,1
5,ON,Neutral,1,0
5,OO,Negative,2,1
5,ON,Neutral,3,1
5,OO,Neutral,1,1
5,ON,Neutral,5,1
5,OO,Negative,1,1
5,ON,Neutral,3,1
5,OO,Neutral,4,1
5,ON,Negative,3,1
5,OO,Negative,2,0
5,ON,Neutral,5,1
5,OO,Negative,3,1
5,ON,Neutral,5,1
5,OO,Neutral,1,0
5,ON,Neutral,5,1
5,OO,Neutral,4,1
5,ON,Negative,1,1
5,OO,Negative,2,1
5,ON,Negative,1,1
5,OO,Negative,1,1
5,ON,Neutral,1,1
5,OO,Neutral,1,1
5,ON,Negative,1,1
5,OO,Neutral,2,1
5,ON,Neutral,3,1
5,OO,Negative,1,1
5,ON,Neutral,1,0
5,OO,Neutral,1,0
5,ON,Neutral,5,1
5,OO,Neutral,3,1
5,ON,Neutral,3,1
5,OO,Negative,3,1
5,ON,Neutral,5,1
5,OO,Negative,3,1
5,ON,Neutral,5,1
5,OO,Neutral,3,1
5,ON,Neutral,1,1
5,OO,Neutral,2,0
5,ON,Neutral,1,1
5,OO,Negative,3,1
5,ON,Negative,5,1
5,OO,Negative,2,1
5,ON,Neutral,5,1
5,OO,Neutral,4,1
5,ON,Neutral,5,1
5,OO,Neutral,1,0
5,ON,Neutral,5,1
5,OO,Neutral,1,1
5,ON,Negative,3,1
5,OO,Neutral,5,1
5,ON,Neutral,1,1
5,OO,Negative,2,1
5,ON,Neutral,3,1
5,OO,Neutral,4,1
5,ON,Negative,1,1
5,OO,Negative,3,1
5,ON,Negative,3,1
5,OO,Neutral,3,1
5,ON,Negative,1,1
5,OO,Neutral,1,1
5,ON,Negative,3,0
5,OO,Negative,3,1
5,ON,Negative,5,1
5,OO,Negative,2,0
5,ON,Negative,3,1
5,OO,Neutral,1,1
5,ON,Neutral,5,1
5,OO,Neutral,4,1
5,ON,Neutral,5,0
5,OO,Negative,3,1
5,ON,Neutral,1,1
5,OO,Neutral,2,1
5,ON,Negative,5,1
5,OO,Neutral,1,1
5,ON,Neutral,3,1
5,OO,Negative,2,1
5,ON,Negative,5,1
5,OO,Neutral,2,1
5,ON,Negative,1,0
5,OO,Negative,2,1
5,ON,Neutral,5,1
5,OO,Negative,3,1
5,ON,Negative,1,1
5,OO,Neutral,2,1
5,ON,Neutral,1,1
5,OO,Neutral,1,1
5,ON,Negative,3,1
5,OO,Negative,2,0
5,ON,Negative,1,1
5,OO,Negative,1,1
5,ON,Negative,5,0
5,OO,Neutral,3,0
5,ON,Neutral,3,1
5,OO,Neutral,2,0
5,ON,Negative,1,1
5,OO,Negative,4,1
5,ON,Negative,5,1
5,OO,Neutral,3,1
5,ON,Negative,3,1
5,OO,Negative,2,0
5,ON,Negative,3,0
5,OO,Negative,3,1
5,ON,Negative,1,0
5,OO,Neutral,4,1
5,ON,Neutral,3,0
5,OO,Negative,2,1
5,ON,Negative,3,1
5,OO,Neutral,4,0
5,ON,Neutral,1,0
6,OO,Neutral,1,1
6,ON,Neutral,1,1
6,OO,Negative,4,0
6,ON,Negative,3,0
6,OO,Neutral,5,1
6,ON,Neutral,3,0
6,OO,Negative,1,1
6,ON,Negative,1,1
6,OO,Negative,1,0
6,ON,Negative,3,0
6,OO,Neutral,3,1
6,ON,Negative,3,0
6,OO,Negative,4,1
6,ON,Negative,5,1
6,OO,Neutral,1,1
6,ON,Negative,1,1
6,OO,Neutral,1,0
6,ON,Neutral,3,1
6,OO,Negative,4,0
6,ON,Negative,5,0
6,OO,Negative,1,0
6,ON,Negative,1,1
6,OO,Neutral,3,1
6,ON,Negative,3,1
6,OO,Neutral,4,1
6,ON,Neutral,1,1
6,OO,Negative,1,1
6,ON,Negative,1,0
6,OO,Neutral,3,1
6,ON,Neutral,5,0
6,OO,Neutral,2,0
6,ON,Negative,1,1
6,OO,Negative,4,0
6,ON,Negative,5,0
6,OO,Negative,1,1
6,ON,Neutral,3,0
6,OO,Neutral,5,1
6,ON,Negative,5,1
6,OO,Negative,2,0
6,ON,Neutral,1,1
6,OO,Negative,4,1
6,ON,Neutral,5,0
6,OO,Neutral,2,1
6,ON,Neutral,5,1
6,OO,Neutral,3,1
6,ON,Negative,3,0
6,OO,Negative,2,0
6,ON,Negative,5,1
6,OO,Negative,1,0
6,ON,Negative,3,1
6,OO,Neutral,3,1
6,ON,Negative,1,0
6,OO,Negative,2,1
6,ON,Negative,3,0
6,OO,Neutral,1,1
6,ON,Negative,1,1
6,OO,Negative,1,0
6,ON,Neutral,3,1
6,OO,Neutral,4,1
6,ON,Neutral,1,0
6,OO,Negative,2,1
6,ON,Negative,3,1
6,OO,Negative,3,1
6,ON,Neutral,5,1
6,OO,Neutral,1,1
6,ON,Neutral,5,0
6,OO,Neutral,4,1
6,ON,Neutral,5,1
6,OO,Negative,2,1
6,ON,Negative,5,0
6,OO,Negative,1,1
6,ON,Neutral,1,1
6,OO,Neutral,1,1
6,ON,Neutral,1,1
6,OO,Neutral,2,1
6,ON,Neutral,5,1
6,OO,Negative,1,1
6,ON,Neutral,5,1
6,OO,Neutral,1,0
6,ON,Neutral,3,1
6,OO,Neutral,3,0
6,ON,Neutral,5,1
6,OO,Negative,3,1
6,ON,Neutral,1,0
6,OO,Negative,3,0
6,ON,Negative,3,0
6,OO,Neutral,3,1
6,ON,Negative,1,0
6,OO,Neutral,2,0
6,ON,Neutral,1,0
6,OO,Negative,3,1
6,ON,Negative,1,0
6,OO,Negative,2,1
6,ON,Negative,1,0
6,OO,Neutral,4,1
6,ON,Neutral,5,0
6,OO,Neutral,1,1
6,ON,Neutral,5,0
6,OO,Neutral,1,1
6,ON,Neutral,5,0
6,OO,Neutral,5,1
6,ON,Negative,3,1
6,OO,Negative,2,1
6,ON,Neutral,3,1
6,OO,Neutral,4,1
6,ON,Neutral,5,1
6,OO,Negative,3,1
6,ON,Neutral,3,0
6,OO,Neutral,3,1
6,ON,Neutral,1,1
6,OO,Neutral,1,1
6,ON,Neutral,3,1
6,OO,Negative,3,0
6,ON,Neutral,3,1
6,OO,Negative,2,0
6,ON,Neutral,3,1
6,OO,Neutral,1,1
6,ON,Negative,3,1
6,OO,Neutral,4,1
6,ON,Neutral,5,1
6,OO,Negative,5,1
6,ON,Negative,3,1
6,OO,Neutral,2,0
6,ON,Neutral,5,1
6,OO,Neutral,1,0
6,ON,Neutral,5,1
6,OO,Negative,2,1
6,ON,Neutral,5,1
6,OO,Neutral,2,1
6,ON,Neutral,3,1
6,OO,Negative,2,1
6,ON,Neutral,5,1
6,OO,Negative,3,1
6,ON,Neutral,5,1
6,OO,Neutral,2,1
6,ON,Negative,5,0
6,OO,Neutral,1,0
6,ON,Negative,1,1
6,OO,Negative,2,1
6,ON,Neutral,1,1
6,OO,Negative,1,1
6,ON,Negative,1,1
6,OO,Neutral,3,1
6,ON,Negative,5,1
6,OO,Neutral,2,0
6,ON,Negative,3,0
6,OO,Neutral,4,1
6,ON,Neutral,1,0
6,OO,Neutral,3,1
6,ON,Negative,3,0
6,OO,Negative,2,1
6,ON,Neutral,1,1
6,OO,Negative,3,0
6,ON,Neutral,3,1
6,OO,Neutral,4,1
6,ON,Neutral,5,1
6,OO,Negative,2,1
6,ON,Neutral,3,1
6,OO,Neutral,4,1
6,ON,Negative,5,1
8,OO,Neutral,1,0
8,ON,Neutral,1,1
8,OO,Negative,4,1
8,ON,Negative,3,1
8,OO,Neutral,5,1
8,ON,Neutral,3,0
8,OO,Negative,1,0
8,ON,Negative,1,0
8,OO,Negative,1,0
8,ON,Negative,3,1
8,OO,Neutral,3,0
8,ON,Negative,3,1
8,OO,Negative,4,0
8,ON,Negative,5,1
8,OO,Neutral,1,1
8,ON,Negative,1,0
8,OO,Neutral,1,1
8,ON,Neutral,3,1
8,OO,Negative,4,1
8,ON,Negative,5,1
8,OO,Negative,1,1
8,ON,Negative,1,1
8,OO,Neutral,3,1
8,ON,Negative,3,1
8,OO,Negative,1,0
8,ON,Neutral,1,1
8,OO,Negative,1,1
8,ON,Negative,1,1
8,OO,Neutral,3,0
8,ON,Neutral,5,1
8,OO,Neutral,2,1
8,ON,Negative,1,0
8,OO,Negative,4,1
8,ON,Negative,5,1
8,OO,Negative,1,0
8,ON,Neutral,3,0
8,OO,Neutral,5,0
8,ON,Negative,5,0
8,OO,Negative,2,1
8,ON,Neutral,1,1
8,OO,Negative,4,1
8,ON,Neutral,5,0
8,OO,Neutral,2,1
8,ON,Neutral,5,0
8,OO,Neutral,3,1
8,ON,Negative,3,1
8,OO,Negative,2,1
8,ON,Negative,5,0
8,OO,Negative,1,1
8,ON,Negative,3,0
8,OO,Neutral,3,1
8,ON,Negative,1,0
8,OO,Negative,2,0
8,ON,Negative,3,1
8,OO,Neutral,1,0
8,ON,Negative,1,1
8,OO,Negative,1,0
8,ON,Neutral,3,1
8,OO,Neutral,4,1
8,ON,Neutral,1,1
8,OO,Negative,2,1
8,ON,Negative,3,1
8,OO,Negative,3,0
8,ON,Neutral,5,1
8,OO,Neutral,1,0
8,ON,Neutral,5,1
8,OO,Neutral,4,1
8,ON,Neutral,5,1
8,OO,Negative,2,0
8,ON,Negative,5,0
8,OO,Negative,1,0
8,ON,Neutral,1,0
8,OO,Neutral,1,1
8,ON,Neutral,1,0
8,OO,Neutral,2,0
8,ON,Neutral,5,1
8,OO,Negative,1,0
8,ON,Neutral,5,1
8,OO,Neutral,1,0
8,ON,Neutral,3,1
8,OO,Neutral,3,1
8,ON,Neutral,5,0
8,OO,Negative,3,1
8,ON,Neutral,1,1
8,OO,Negative,3,1
8,ON,Neutral,3,1
8,OO,Neutral,3,1
8,ON,Negative,1,1
8,OO,Neutral,2,1
8,ON,Neutral,1,0
8,OO,Negative,3,1
8,ON,Negative,1,1
8,OO,Negative,2,0
8,ON,Negative,1,1
8,OO,Neutral,4,0
8,ON,Neutral,5,1
8,OO,Negative,1,0
8,ON,Neutral,5,1
8,OO,Neutral,1,1
8,ON,Neutral,5,1
8,OO,Neutral,5,1
8,ON,Negative,3,0
8,OO,Negative,2,1
8,ON,Neutral,3,1
8,OO,Neutral,4,0
8,ON,Neutral,5,0
8,OO,Negative,3,1
8,ON,Neutral,3,1
8,OO,Neutral,3,1
8,ON,Neutral,1,1
8,OO,Neutral,1,0
8,ON,Neutral,3,0
8,OO,Negative,3,1
8,ON,Neutral,3,1
8,OO,Negative,2,1
8,ON,Neutral,3,1
8,OO,Neutral,1,0
8,ON,Negative,3,1
8,OO,Neutral,4,1
8,ON,Neutral,5,1
8,OO,Negative,5,1
8,ON,Negative,3,1
8,OO,Neutral,2,1
8,ON,Neutral,5,0
8,OO,Neutral,1,0
8,ON,Neutral,5,1
8,OO,Negative,2,0
8,ON,Neutral,5,1
8,OO,Neutral,2,0
8,ON,Neutral,3,1
8,OO,Negative,2,0
8,ON,Neutral,5,1
8,OO,Negative,3,0
8,ON,Neutral,5,0
8,OO,Neutral,2,1
8,ON,Negative,5,1
8,OO,Neutral,1,1
8,ON,Negative,1,0
8,OO,Negative,2,1
8,ON,Neutral,1,0
8,OO,Negative,1,0
8,ON,Negative,1,0
8,OO,Neutral,3,1
8,ON,Negative,5,1
8,OO,Neutral,2,1
8,ON,Negative,3,0
8,OO,Neutral,4,1
8,ON,Neutral,1,1
8,OO,Neutral,3,0
8,ON,Negative,3,0
8,OO,Negative,2,0
8,ON,Negative,1,1
8,OO,Negative,3,1
8,ON,Neutral,3,0
8,OO,Neutral,4,1
8,ON,Neutral,5,1
8,OO,Negative,2,0
8,ON,Neutral,3,0
8,OO,Neutral,4,0
8,ON,Negative,5,1
9,OO,Neutral,1,1
9,ON,Negative,5,0
9,OO,Negative,4,1
9,ON,Neutral,3,1
9,OO,Neutral,5,1
9,ON,Neutral,5,1
9,OO,Negative,1,1
9,OO,Neutral,1,1
9,OO,Negative,1,0
9,ON,Negative,1,0
9,OO,Neutral,3,1
9,ON,Negative,3,0
9,OO,Negative,4,1
9,ON,Neutral,1,0
9,OO,Neutral,1,1
9,ON,Negative,3,0
9,OO,Neutral,1,0
9,ON,Negative,5,0
9,OO,Negative,4,1
9,ON,Negative,1,1
9,OO,Negative,1,0
9,ON,Neutral,1,1
9,OO,Neutral,3,0
9,ON,Negative,1,0
9,OO,Negative,1,1
9,ON,Negative,5,0
9,OO,Negative,1,1
9,ON,Neutral,5,1
9,OO,Neutral,3,0
9,ON,Neutral,5,0
9,OO,Neutral,2,0
9,ON,Neutral,3,0
9,OO,Negative,4,1
9,ON,Neutral,5,0
9,OO,Negative,1,1
9,ON,Neutral,5,1
9,OO,Neutral,5,1
9,ON,Neutral,5,1
9,OO,Negative,2,1
9,ON,Negative,3,0
9,OO,Negative,4,1
9,ON,Neutral,5,0
9,OO,Neutral,2,1
9,ON,Negative,3,1
9,OO,Neutral,3,1
9,ON,Neutral,3,1
9,OO,Negative,2,1
9,ON,Neutral,3,0
9,OO,Negative,1,1
9,ON,Neutral,3,0
9,OO,Neutral,3,0
9,ON,Neutral,1,1
9,OO,Negative,2,1
9,ON,Neutral,3,0
9,OO,Neutral,1,0
9,ON,Neutral,5,1
9,OO,Negative,1,0
9,ON,Neutral,3,0
9,OO,Neutral,4,0
9,ON,Negative,3,1
9,OO,Negative,2,1
9,ON,Neutral,5,0
9,OO,Negative,3,1
9,ON,Neutral,5,0
9,OO,Neutral,1,1
9,ON,Neutral,5,0
9,OO,Neutral,4,0
9,ON,Negative,1,0
9,OO,Negative,2,0
9,ON,Negative,1,1
